address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"225 N 13th Ave, Po Box 988, Laurel, Mississippi, 39441",United States of America,Consumer Packaged Goods,,Sanderson Farms Inc,"2,021",$4.8B,1 601 6494030,sandersonfarms.com
"1550 Wewatta Street, Suite 710, Denver, Colorado, 80202",United States of America,Technology and Communications,$1.9B,Liberty Latin America Ltd,"11,900",$4.8B,1 303 9256000,lla.com
"Evn Platz, Maria Enzersdorf, 2344",Austria,Power,$3.5B,EVN AG,"7,142",$4.8B,43 2236 2000,www.evn.at
"Shinagawa Intercity Tower C, 2-15-3, Konan, Minato-Ku, Tokyo, 108-6290",Japan,Technology and Communications,$3.6B,Nikon Corp,"18,437",$4.8B,81 3 64333600,www.jp.nikon.com
"Karvesvingen 5, Oslo, 0579",Norway,Technology and Communications,$1.3B,Atea ASA,"7,980",$4.8B,47 2 2095000,www.atea.no
"Oruzheynyi Pereulok, D. 41, Moscow, 127006",Russia,Technology and Communications,$6.3B,PJSC MegaFon,"36,700",$4.8B,7 499 7552155,corp.megafon.ru
"16430 N. Scottsdale Rd., Suite 400, Arizona, 85254",United States of America,Construction,$12.3B,Carlisle Companies Inc,"11,000",$4.8B,1 704 5011100,www.carlisle.com
"No. 93, Beijing East Road, Jingzhou, Hubei, 434001",China,Chemicals,$3.1B,Adama Ltd,"9,201",$4.8B,86 10 56718110,www.adama.com
"440 East Swedesford Road, Suite 301, Wayne, Pennsylvania, 19087",United States of America,Chemicals,$908.3M,Trinseo Plc,"3,100",$4.8B,1 610 2403200,www.trinseo.com
"33587 Walker Rd, Avon Lake, Ohio, 44012",United States of America,Chemicals,$3.4B,Avient Corp,"8,700",$4.8B,1 440 9301000,www.avient.com
"17/F, Malata Building, Kejizhongyi Road, Shenzhen, Guangdong, 518057",China,Media,$14.0B,Tencent Music Entertainment Group,"5,966",$4.8B,86 755 86013388,www.tencentmusic.com
"14 Schoolhouse Rd, Somerset, New Jersey, 08873-1213",United States of America,Pharmaceuticals and Healthcare,$8.7B,Catalent Inc,"19,000",$4.8B,1 732 5376200,www.catalent.com
"Schiphol Boulevard 165, 1118BG",Netherlands,Technology and Communications,$6.8B,Yandex NV,"19,934",$4.8B,31 202 066970,yandex.com
"Ground Floor Santos Ctr, 60 Flinders Street, Adelaide, South Australia, 5000",Australia,Energy and Utilities,$17.0B,Santos Ltd,"3,786",$4.8B,61 8 81165000,www.santos.com
"2f, No. 13, Innovation Road I, Hsin-Chu Science-Based Industrial Park, Baoshan, 300",Taiwan,Technology and Communications,$7.0B,Novatek Microelectronics Corp,"1,790",$4.8B,886 3 5670889,www.novatek.com.tw
"Bandera N 140, Santiago, 8340455",Chile,Financial Services,$7.4B,Banco Santander-Chile,"9,988",$4.9B,56 2 3202000,www.santander.cl
"Building 1, No. 316, Xuxiang Road, Xujing Town, Qingpu District, Shanghai, 201702",China,Transport and Logistics,$3.3B,Deppon Logistics Co Ltd,"71,773",$4.9B,86 21 39288106,www.deppon.com
"No.191 Zhongxing West Avenue, Xingtai, Hebei, 054000",China,Metals and Mining,$3.4B,Jizhong Energy Resources Co Ltd,"40,383",$4.9B,86 319 2098828,www.jznygf.com
"3-77, Oimatsu-Cho, Sakai-Ku, Sakai-Shi, Osaka, 590-8577",Japan,General Business,$15.8B,Shimano Inc,"13,179",$4.9B,81 72 2233210,www.shimano.com
"Woolsington House, Woolsington, Newcastle upon Tyne, Tyne and Wear, NE138BF",United Kingdom,Construction,$3.3B,Bellway Plc,"2,978",$4.9B,44 191 2170717,www.bellwayplc.co.uk
"Av. Americo Vespucio Sur 901, Renca",Chile,Transport and Logistics,$473.4M,LATAM Airlines Group SA,"31,354",$4.9B,56 2 25652525,www.latam.com/es_cl
"5, 33, 35-36, 38-41f, Huaneng Mansion, No.2068 Shennan Middle Road, Futian District, Shenzhen, Guangdong, 518033",China,Power,$4.2B,Shenzhen Energy Group Co Ltd,"12,808",$4.9B,86 755 83684138,www.sec.com.cn
"303 2nd Street, South Tower, 8th Floor, San Francisco, California, 94107",United States of America,Leisure and Arts,$21.5B,DoorDash Inc,"8,600",$4.9B,1 650 4873970,www.doordash.com
"801 E 86th Ave, Merrillville, Indiana, 46410-6271",United States of America,Energy and Utilities,$11.0B,NiSource Inc,"7,272",$4.9B,1 219 6475200,www.nisource.com
"999 W Big Beaver Rd, Troy, Michigan, 48084",United States of America,Business and Consumer Services,$642.2M,Kelly Services Inc,"7,400",$4.9B,1 248 3624444,www.kellyservices.com
"Canon S Tower, 2-16-6, Konan, Minato-Ku, Tokyo, 108-8011",Japan,Consumer Packaged Goods,$3.0B,Canon Marketing Japan Inc,"16,220",$4.9B,81 3 67199111,canon.jp
"10101 Woodfield Lane, St. Louis, Missouri, 63132",United States of America,Government and Non-Profit Organisations,,SSM Health Care,"40,000",$4.9B,1 314 9892025,www.ssmhealth.com
"21 - 25 Rue Balzac, Paris, 75008",France,Pharmaceuticals and Healthcare,$1.2B,Korian SE,"55,912",$4.9B,33 1 55375200,www.korian.fr
"1550 Peachtree St Nw, Atlanta, Georgia, 30309-2402",United States of America,Business and Consumer Services,$26.6B,Equifax Inc,"12,700",$4.9B,1 404 8858000,www.equifax.com
"Sankyu Bldg., 6-5-23, Kachidoki, Chuo-Ku, Tokyo, 104-0054",Japan,Transport and Logistics,$2.3B,Sankyu Inc,"31,054",$4.9B,81 3 35363939,www.sankyu.co.jp
"1000 Tempur Way, Lexington, Kentucky, 40511",United States of America,Retailing,$6.5B,Tempur Sealy International Inc,"12,000",$4.9B,1 800 8788889,www.tempursealy.com
"New Chemical Materials Industrial Park, Hi-Tech Industrial Development Zone, Liaocheng, Shandong , 252000",China,Chemicals,$3.6B,Luxi Chemical Group Co Ltd,"12,414",$4.9B,86 635 3481198,www.luxichemical.com
"19f, Izumi Garden Tower, 1-6-1, Roppongi, Minato-Ku, Tokyo, 106-6019",Japan,Financial Services,$5.8B,SBI Holdings Inc,"17,496",$4.9B,81 3 62290100,www.sbigroup.co.jp
"Avda.Alcalde Barnils N 63, Sant Cugat Del Valles, 08174",Spain,Financial Services,$3.9B,Grupo Catalana Occidente SA,"7,150",$4.9B,34 935 820667,www.grupocatalanaoccidente.com
"Dachauer Strasse 665, Muenchen, 80995",Germany,Aerospace and Defense,$13.3B,MTU Aero Engines AG,"11,008",$5.0B,49 89 14890,www.mtu.de
"1-2-6, Toranomon, Minato-Ku, Tokyo, 105-0001",Japan,Business and Consumer Services,$1.3B,Mizuho Leasing Co Ltd,"1,864",$4.9B,81 3 52536511,www.mizuho-ls.co.jp
"Ul. Krasina, Dom 3, Stroyeniye 1, Moscow, 123056",Russia,Metals and Mining,$16.3B,Polyus,"21,716",$5.0B,7 495 6413377,polyus.com
"13200 Pioneer Trail, Suite 150, Eden Prairie, Minnesota, 55347",United States of America,Automotive,$1.7B,Winnebago Industries Inc,"7,445",$5.0B,1 952 8298600,winnebagoind.com
"35 W Wacker Drive, Chicago, Illinois, 60601",United States of America,Technology and Communications,,RR Donnelley & Sons Co,"32,000",$5.0B,1 312 3268000,www.rrd.com
"Praca Rui Barbosa,N 80(Parte), Centro, Cataguases, 36.770-901",Brazil,Power,$3.8B,Energisa SA,"16,972",$5.0B,55 32 34296000,www.energisa.com.br
"Persimmon House, Fulford, YO194FE",United Kingdom,Construction,$5.8B,Persimmon Plc,"5,121",$5.0B,44 1904 642199,www.persimmonhomes.com
"Liansu Industrial Estate, Longjiang Town, Shunde District, Foshan, Guangdong, 528318",China,Construction,$3.7B,China Lesso Group Holdings Ltd,"19,947",$5.0B,86 852 21366185,www.lesso.com
"Sandviksboder 77ab, Bergen, 5035",Norway,Consumer Packaged Goods,$9.3B,Mowi ASA,"13,984",$5.0B,47 2 1562300,mowi.com
"5-1, Yotsuyahonshio-Cho, Shinjuku-Ku, Tokyo, 160-8575",Japan,Consumer Packaged Goods,$970.2M,Megmilk Snow Brand Co Ltd,"5,665",$5.0B,81 3 68873690,www.meg-snow.com
"Suite 200, 201 Isabella Street, Pittsburgh, Pennsylvania, 15212",United States of America,Aerospace and Defense,$16.4B,Howmet Aerospace Inc,"19,900",$5.0B,1 412 5531940,www.howmet.com
"Fifth Avenue Business Park, Gateshead, England, NE110XA",United Kingdom,Automotive,$238.7M,Vertu Motors Plc,"6,187",$5.0B,,www.vertumotors.com
"No.1, Hangzhan South Road, Dayuan District, Taoyuan, 337",Taiwan,Transport and Logistics,$3.8B,China Airlines Ltd,"16,731",$5.0B,886 3 3998888,www.china-airlines.com
"601 Nw 2nd St, Evansville, Indiana, 47708-1013",United States of America,Financial Services,$4.8B,OneMain Holdings Inc,"8,800",$5.0B,1 812 4248031,investor.onemainfinancial.com
"19001 Crescent Springs Dr, Kingwood, Texas, 77339",United States of America,Business and Consumer Services,$4.2B,Insperity Inc,"3,600",$5.0B,1 713 3588986,www.insperity.com
"39th Floor, Pccw Tower, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",Hong Kong,Technology and Communications,$3.7B,PCCW Ltd,"21,200",$5.0B,852  25145084,www.pccw.com
"Yitian Road, Futian District, Shenzhen, Guangdong, 518046",China,Financial Services,$17.1B,China Merchants Securities Co Ltd,"12,232",$5.0B,86 755 82943666,www.cmschina.com
"26th Floor, Harcourt House, 39 Gloucester Road, Wanchai",Hong Kong,Conglomerate,$1.4B,Shanghai Industrial Holding Ltd,"18,354",$5.0B,852  25295652,www.sihl.com.hk
"Muehlentalstrasse 2, Schaffhausen, 8200",Switzerland,Technology and Communications,$18.5B,Garmin Ltd,"18,700",$5.0B,41 52 6301600,www.garmin.com
"2-6-8, Dosho-Machi, Chuo-Ku, Osaka-Shi, 541-0045",Japan,Pharmaceuticals and Healthcare,$2.8B,Sumitomo Pharma Co Ltd,"6,987",$5.0B,81 6 62035321,www.sumitomo-pharma.co.jp
"Av. Antonio Manco Bernardes, S/N, Chacara Minerva, Barretos, 14.781-545",Brazil,Consumer Packaged Goods,$1.8B,Minerva SA,,$5.0B,55 17 33213355,www.minervafoods.com
"Borupvang 4, Ballerup, 2750",Denmark,Financial Services,$4.7B,Topdanmark AS,"2,417",$5.0B,45 44 683311,www.topdanmark.com
"Toolonlahdenkatu 2, Helsinki, 00100",Finland,Industrial Goods and Machinery,$9.4B,Metso Outotec Corp,"16,277",$5.0B,358 2 0484100,www.mogroup.com
"40 Brighton Road, Sutton, SM25BN",United Kingdom,Energy and Utilities,$3.8B,Subsea 7 SA,,$5.0B,44 20 87226025,www.subsea7.com
"77 Hot Metal St, Pittsburgh, Pennsylvania, 15203-2382",United States of America,Retailing,$2.8B,American Eagle Outfitters Inc,"7,200",$5.0B,1 412 4323300,www.ae.com
"Friedrich-Ebert-Damm 129, Hamburg, 22047",Germany,Industrial Goods and Machinery,$1.7B,Jungheinrich AG,"19,400",$5.0B,49 40 69480,www.jungheinrich.de
"6-24, Akashi-Cho, Chuo-Ku, Tokyo, 104-0044",Japan,Paper and Packaging,$431.0M,KPP Group Holdings Co Ltd,"5,354",$5.0B,81 3 35424166,www.kpp-gr.com
"Seestrasse 204, Kilchberg, 8802",Switzerland,Consumer Packaged Goods,$25.9B,Chocoladefabriken Lindt & Sprungli AG,"9,541",$5.0B,41 44 7162233,www.lindt-spruengli.com
"No.897 Huangshi Avenue, Wuhan, Hubei, 430073",China,Construction,$4.0B,Huaxin Cement Co Ltd,"16,283",$5.0B,86 27 87773898,www.huaxincem.com
"St. Poltener Strasse 43, Heidenheim, Baden-Wurttemberg, 89522",Germany,Industrial Goods and Machinery,,Voith GmbH & Co KGaA,"20,634",$5.0B,49 7321 370,www.voith.com
"Zain Group Head Office Bldg, Airport Road, Shuwaikh, Safat, Po Box 22244, 13083",Kuwait,Technology and Communications,$7.9B,Zain Group,"2,659",$5.0B,965 246 44444,www.zain.com
"2-1-21, Kudan-Minami, Chiyoda-Ku, Tokyo, 102-8628",Japan,Construction,$2.2B,Kinden Corp,"12,892",$5.0B,81 3 52107272,www.kinden.co.jp
"Jl. Jenderal Sudirman Kav. 1, Jakarta, 10220",Indonesia,Financial Services,$10.8B,PT Bank Negara Indonesia (Persero) Tbk,"25,229",$5.0B,62 21 2511214,www.bni.co.id
"2929 Walnut Street, Philadelphia, Pennsylvania, 19104",United States of America,Chemicals,$15.9B,FMC Corp,"6,400",$5.0B,1 215 2996668,www.fmc.com/en
"Calle Centenario 156, La Molina, HMCX",Peru,Financial Services,$11.3B,Credicorp Ltd,"35,733",$5.1B,51 1 3132140,credicorp.gcs-web.com
"80 Lamberton Rd, Windsor, Connecticut, 06095",United States of America,Technology and Communications,$14.1B,SS&C Technologies Holdings Inc,"24,900",$5.1B,1 860 2984500,www.ssctech.com
"P.O.B. 27, 50 Rothschild Blvd, Tel Aviv-Yafo, 6688314",Israel,Financial Services,$12.8B,Bank Hapoalim BM,"8,535",$5.1B,972 3 5673333,www.bankhapoalim.co.il
"Centre Monnaie, Bruxelles, 1000",Belgium,Transport and Logistics,$1.1B,bpost SA/NV,"37,953",$5.1B,32 2 2762111,www.bpost.be
"940 Winter Street, Waltham, Massachusetts, 02451",United States of America,Medical Equipment,$16.7B,PerkinElmer Inc,"16,700",$5.1B,1 781 6635791,www.perkinelmer.com
"No.1, Xifei Avenue, Yanliang District, Xi'An, Shaanxi, 710089",China,Aerospace and Defense,$10.2B,AVIC Xi'an Aircraft Industry Group Co Ltd,"25,270",$5.1B,86 29 86847885,www.xac.com.cn
"5f, Marunouchi Trust Tower Main, 1-8-3, Marunouchi, Chiyoda-Ku, Tokyo, 100-0005",Japan,Business and Consumer Services,$938.8M,OUTSOURCING Inc,"121,153",$5.1B,81 3 32864888,www.outsourcing.co.jp
"7001 East Belleview Avenue, Denver, Colorado, 80237",United States of America,Financial Services,$5.4B,The Western Union Co,"10,500",$5.1B,1 720 3323361,corporate.westernunion.com
"6-28-1, Shinjuku, Shinjuku-Ku, Tokyo, 160-8524",Japan,Consumer Packaged Goods,$8.1B,Nissin Foods Holdings Co Ltd,"14,633",$5.1B,81 3 32055111,www.nissin.com/jp/about/nissinfoods-holdings
"No. 1 Leggett Road, Carthage, Missouri, 64836",United States of America,Industrial Goods and Machinery,$4.5B,Leggett & Platt Inc,"20,300",$5.1B,1 417 3588131,leggett.com
"No. 16, Xiyu Street, Chengdu, Sichuan, 610015",China,Financial Services,$7.9B,Bank of Chengdu Co Ltd,"6,913",$5.1B,86 28 86160295,www.bocd.com.cn
"Suite 900, 1355 Market Street, San Francisco, California, 94103",United States of America,Media,,Twitter Inc,"7,500",$5.1B,1 415 2229670,www.twitter.com
"690 E Middlefield Rd, Mountain View, California, 94043",United States of America,Technology and Communications,$51.2B,Synopsys Inc,"16,361",$5.1B,1 978 2561300,www.synopsys.com
"12 Rue Jean Jaures, Puteaux Cedex, 92813",France,Pharmaceuticals and Healthcare,$517.1M,Orpea SA,"71,676",$5.1B,33 1 47757807,www.orpea.com
"39 Rue Mstislav Rostropovitch, Paris, 75017",France,Pharmaceuticals and Healthcare,$2.2B,Ramsay Generale de Sante,"32,623",$5.1B,33 1 87862300,www.ramsaysante.fr
"No. 1399 Binxing Road, Binjiang District, Hangzhou, Zhejiang, 310053",China,Technology and Communications,$5.5B,Dahua Technology Co Ltd,"22,864",$5.1B,86 571 28939522,www.dahuatech.com
"Air Canada Centre, Zip Yul 1276, 7373 Cote-Vertu West, Saint-Laurent, Quebec, H4Y1H4",Canada,Transport and Logistics,$5.8B,Air Canada,"32,166",$5.1B,1 514 4226020,www.aircanada.com
"Begijnenvest 113, Antwerpen, 2000",Belgium,Construction,$5.9B,Ackermans & Van Haaren NV,"10,910",$5.1B,32 3 2318770,www.avh.be
"Av. Vasco De Quiroga No. 2000, Santa Fe, Mexico, D.F., 12210",Mexico,Media,$3.3B,Grupo Televisa SAB,"37,463",$5.1B,52 55 52612000,www.televisair.com/es-ES
"#1200 - 20 Adelaide Street East, Toronto, Ontario, M5C2T6",Canada,Technology and Communications,$36.0B,Constellation Software Inc,"32,000",$5.1B,1 416 8612279,www.csisoftware.com
"440 Lincoln St, Worcester, Massachusetts, 1653",United States of America,Financial Services,$4.7B,The Hanover Insurance Group Inc,"4,400",$5.1B,1 508 8551000,www.hanover.com
"225 W Washington Street, Indianapolis, 46204-3438",United States of America,Construction,$41.9B,Simon Property Group Inc,"2,400",$5.1B,1 317 6361600,www.simon.com
"No. 2199, Nongsheng East Street, Shouguang City, Weifang, Shandong , 262705",China,Paper and Packaging,$1.7B,Shandong Chenming Paper Holdings Ltd,"12,296",$5.1B,86 536 2158008,www.chenmingpaper.com
"No. 6, Binjiang International, No. 645 Anpu Road, Shanghai, 200082",China,Paper and Packaging,$1.7B,Shanying International Holdings Co Ltd,"15,109",$5.1B,86 21 62376966,www.shanyingintl.com
"10990 Roe Ave, Overland Park, Kansas, 66211",United States of America,Transport and Logistics,$139.5M,Yellow Corp,"32,000",$5.1B,1 913 6966100,www.myyellow.com
"9001 Liberty Pkwy, Birmingham, Alabama, 35242-7509",United States of America,Pharmaceuticals and Healthcare,$6.1B,Encompass Health Corp,"28,000",$5.1B,1 205 9677116,www.encompasshealth.com
"3700 S Stonebridge Dr, Mckinney, Texas, 75070-5934",United States of America,Financial Services,$11.5B,Globe Life Inc,"3,222",$5.1B,1 972 5694000,www.torchmarkcorp.com
"555 Ih 35 South, New Braunfels, Texas, 78130",United States of America,Automotive,$2.8B,Rush Enterprises Inc,"7,166",$5.1B,1 830 6265200,www.rushenterprises.com
"P. O. Box 365, Waterside, Harmondsworth, England, UB70GB",United Kingdom,Transport and Logistics,,British Airways Plc,"34,393",$5.1B,44 344 4930787,www.britishairways.com
"Aercap House, 65 Saint Stephen's Green, Dublin, D02YX20",Ireland,Business and Consumer Services,$15.6B,AerCap Holdings NV,736,$5.1B,353 1 8192010,www.aercap.com
"6110 Stoneridge Mall Road, Pleasanton, California, 94588",United States of America,Technology and Communications,$42.2B,Workday Inc,"17,522",$5.1B,1 925 9519000,www.workday.com
"Lilla Bantorget 15, Stockholm, 11123",Sweden,Technology and Communications,$29.7B,Hexagon AB,"23,696",$5.1B,46 8 6012620,hexagon.com
"Hikari West Gate Bldg., 1-4-10, Nishi-Ikebukuro, Toshima-Ku, Tokyo, 171-0021",Japan,Technology and Communications,$6.5B,Hikari Tsushin Inc,"5,310",$5.1B,81 3 59513718,www.hikari.co.jp
"Millennia Park, 16 Stellentia Avenue, Stellenbosch, 7600",South Africa,Financial Services,$4.3B,Remgro Ltd,321,$5.1B,27 21 8883300,www.remgro.com
"8800 East Raintree Drive, Suite 300, Scottsdale, Arizona, 85260",United States of America,Construction,$3.6B,Meritage Homes Corporation,"1,773",$5.1B,1 480 5158100,www.meritagehomes.com
"800-A Beaty Street, Davidson, North Carolina, 28036",United States of America,Industrial Goods and Machinery,$22.6B,Ingersoll Rand Inc,"16,000",$5.2B,1 414 2124700,www.irco.com
"One Dauch Drive, Detroit, Michigan, 48211-1198",United States of America,Automotive,$977.2M,American Axle & Manufacturing Holdings Inc,"18,000",$5.2B,1 313 7583600,www.aam.com/investors
"5-6-4, Tsukiji, Chuo-Ku, Tokyo, 104-8439",Japan,Transport and Logistics,$264.9M,Mitsui E&S Holdings Co Ltd,"6,665",$5.2B,81 3 35443133,www.mes.co.jp
"Room 2301 & 2310, 23rd Floor, China Resources Building, No. 26 Harbour Road, Wanchai",Hong Kong,Consumer Packaged Goods,$24.9B,China Resources Beer (Holdings) Co Ltd,"25,000",$5.2B,852  23609722,www.crbeer.com.hk
"8th Floor, Tower 1, One Indbls Ctr, 841, Senapati Bapat Marg,Elphinstn Rd(W), Mumbai, 400013",India,Financial Services,$11.6B,IndusInd Bank Ltd,"33,582",$5.2B,91 22 24231999,www.indusind.com
"43 Quai De Grenelle, Paris, Ile-de-France, 75015",France,Metals and Mining,$3.4B,Imerys SA,"15,572",$5.2B,33 1 49556300,www.imerys.com
"500 Charles Ewing Blvd, New Jersey, 08628-3448",United States of America,Consumer Packaged Goods,$20.0B,Church & Dwight Co Inc,"5,100",$5.2B,1 609 8061200,churchdwight.com
"301 Water Street Se, Washington, WashingtonD.C., 20003",United States of America,Clean Technology,$20.5B,Xylem Inc,"17,300",$5.2B,1 202 8699150,www.xylem.com
"980 Rock Ave, San Jose, California, 95131-1615",United States of America,Technology and Communications,$4.2B,Super Micro Computer Inc,"4,607",$5.2B,1 408 5038000,www.supermicro.com/en
"Strijbroek 10, Sint-Katelijne-Waver, 2860",Belgium,Consumer Packaged Goods,$383.1M,Greenyard NV,"8,455",$5.2B,32 15 324200,www.greenyard.group
"1-602-1, Kitabukuro-Cho, Omiya-Ku, Saitama-Shi, 330-9520",Japan,Retailing,$3.5B,Shimamura Co Ltd,"3,086",$5.2B,81 48 6312111,www.shimamura.gr.jp
"4 Matthew Parker Street, Westminster, SW1H9NP",United Kingdom,Transport and Logistics,,Go-Ahead Group Plc,"30,573",$5.2B,44 20 77998999,www.go-ahead.com
"Building 5, Croxley Park, Hatters Lane, Watford, WD188YE",United Kingdom,Medical Equipment,$12.2B,Smith & Nephew Plc,"18,000",$5.2B,44 20 74017646,www.smith-nephew.com
"Room 4706, Office Tower, Convention Plza, 1 Harbour Road, Wanchai",Hong Kong,Financial Services,$4.0B,Far East Horizon Ltd,"23,013",$5.2B,852  25888688,www.fehorizon.com
"287 Speedvale Ave W, Guelph, Ontario, N1H1C5",Canada,Automotive,$3.0B,Linamar Corp,"27,619",$5.2B,1 519 8367550,www.linamar.com
"1030 Sync Street, Morrisville, North Carolina, 27560",United States of America,Pharmaceuticals and Healthcare,$3.6B,Syneos Health Inc,"26,751",$5.2B,1 919 8769300,www.syneoshealth.com
"Windsor', 5th Floor, Off Cst Road, Near Vidya Nagari, Kalina, Santacruz(E), Mumbai, 400030",India,Technology and Communications,$2.9B,Vodafone Idea Ltd,"8,760",$5.2B,,www.vodafoneidea.com
"3-10, Fukuura, Kanazawa-Ku, Yokohama-Shi, Kanagawa, 236-0004",Japan,Automotive,$1.7B,NHK Spring Co Ltd,"17,695",$5.2B,81 45 7867511,www.nhkspg.co.jp
"One Edwards Way, Irvine, California, 92614",United States of America,Medical Equipment,$48.4B,Edwards Lifesciences Corp,"15,700",$5.2B,1 949 2502500,www.edwards.com
"200 Old Wilson Bridge Road, Columbus, Ohio, 43085",United States of America,Metals and Mining,$2.6B,Worthington Industries Inc,"8,400",$5.2B,1 614 4383210,worthingtonindustries.com
"Sun House, Cts No. 201 B/1, Western Exp, Mumbai, 400063",India,Pharmaceuticals and Healthcare,$30.6B,Sun Pharmaceutical Industries Ltd,"38,000",$5.2B,91 22 43244324,sunpharma.com
"Massmart House, 16 Peltier Drive, Surringhill Ext. 6, Johannesburg, 00000",South Africa,Retailing,,Massmart Holdings Ltd,"51,000",$5.3B,27 11 5170000,www.massmart.co.za
"2-17-1, Higashigotanda, Shinagawa-Ku, Tokyo, 141-8647",Japan,Construction,$2.6B,COMSYS Holdings Corp,"17,520",$5.2B,81 3 34487100,www.comsys-hd.co.jp
